Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,1.7200000286102295,1.9800000190734863,1.6799999475479126,1.840000033378601,1.840000033378601,46000
2018-09-01,1.840000033378601,2.2100000381469727,1.7300000190734863,2.2100000381469727,2.2100000381469727,106000
2018-10-01,2.200000047683716,3.0999999046325684,2.0299999713897705,2.5199999809265137,2.5199999809265137,329800
2018-11-01,2.6600000858306885,3.8499999046325684,2.259999990463257,2.440000057220459,2.440000057220459,668300
2018-12-01,2.369999885559082,2.6600000858306885,1.4299999475479126,1.7300000190734863,1.7300000190734863,255100
2019-01-01,1.7599999904632568,2.6600000858306885,1.7200000286102295,2.450000047683716,2.450000047683716,136500
2019-02-01,2.450000047683716,2.75,1.9199999570846558,2.299999952316284,2.299999952316284,88100
2019-03-01,2.299999952316284,2.490000009536743,2.1600000858306885,2.359999895095825,2.359999895095825,33000
2019-04-01,2.3299999237060547,2.680000066757202,2.1500000953674316,2.319999933242798,2.319999933242798,45700
2019-05-01,2.25,2.4800000190734863,1.899999976158142,2.0,2.0,45300
2019-06-01,2.0999999046325684,2.3299999237060547,1.9500000476837158,2.0,2.0,12900
2019-07-01,2.0,2.1600000858306885,1.7799999713897705,1.9500000476837158,1.9500000476837158,29600
2019-08-01,1.9500000476837158,1.9500000476837158,1.7100000381469727,1.909999966621399,1.909999966621399,10800
2019-09-01,1.9500000476837158,1.9700000286102295,1.4199999570846558,1.440000057220459,1.440000057220459,41500
2019-10-01,1.4199999570846558,1.8300000429153442,1.309999942779541,1.3899999856948853,1.3899999856948853,93100
2019-11-01,1.440000057220459,1.590000033378601,1.2000000476837158,1.3300000429153442,1.3300000429153442,34300
2019-12-01,1.3300000429153442,1.6200000047683716,1.1699999570846558,1.3700000047683716,1.3700000047683716,201100
2020-01-01,1.3700000047683716,1.7899999618530273,1.2100000381469727,1.6399999856948853,1.6399999856948853,224800
2020-02-01,1.559999942779541,1.7799999713897705,1.2100000381469727,1.340000033378601,1.340000033378601,198100
2020-03-01,1.3200000524520874,1.3700000047683716,0.6299999952316284,1.1799999475479126,1.1799999475479126,129700
